STT,Mã,Tên công ty,Sàn,Ngành ICB - cấp 1,Ngành ICB - cấp 2,Ngành ICB - cấp 3,Ngành ICB - cấp 4
202,HTL,Ô tô Trường Long,HOSE,Hàng Tiêu dùng,Ô tô và phụ tùng,Ô tô và phụ tùng,Sản xuất ô tô
203,HTN,Hưng Thịnh Incons,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản
204,HTV,Logistics Vicem,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,Vận tải Thủy
205,HU1,Xây dựng HUD1,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
206,HUB,Xây lắp Huế,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
207,HVH,Đầu tư và Công nghệ HVC,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
208,HVN,Vietnam Airlines,HOSE,Dịch vụ Tiêu dùng,Du lịch và Giải trí,Du lịch & Giải trí,Dịch vụ hàng không
209,HVX,Xi măng Vicem Hải Vân,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
210,ICT,Viễn thông - Tin học Bưu điện,HOSE,Công nghệ Thông tin,Công nghệ Thông tin,Phần mềm & Dịch vụ Máy tính,Phần mềm
211,IDI,Đầu tư và PT Đa Quốc Gia,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
212,IJC,Becamex IJC,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản
213,ILB,ICD Tân Cảng Long Bình,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
214,IMP,IMEXPHARM,HOSE,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm
215,ITC,Đầu tư kinh doanh Nhà,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản
216,ITD,Công nghệ Tiên Phong,HOSE,Công nghệ Thông tin,Công nghệ Thông tin,Phần mềm & Dịch vụ Máy tính,Phần mềm
217,JVC,Đầu tư và Phát triển Y tế Việt Nhật,HOSE,Dược phẩm và Y tế,Y tế,Thiết bị và Dịch vụ Y tế,Thiết bị y tế
218,KBC,TCT Đô thị Kinh Bắc,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản
219,KDC,Tập đoàn KIDO,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm
220,KDH,Nhà Khang Điền,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản
221,KHG,Tập đoàn Khải Hoàn Land,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản
222,KHP,Điện lực Khánh Hòa,HOSE,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
223,KMR,MIRAE,HOSE,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc
224,KOS,Công ty KOSY,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản
225,KPF,Đầu tư Tài sản KOJI,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
226,KSB,Khoáng sản Bình Dương,HOSE,Nguyên vật liệu,Tài nguyên Cơ bản,Khai khoáng,Khai khoáng
227,L10,LILAMA 10,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Công nghiệp nặng,Máy công nghiệp
228,LAF,Chế biến Hàng XK Long An,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm
229,LBM,Khoáng sản Lâm Đồng,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
230,LCG,LIZEN,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
231,LDG,Đầu tư LDG,HOSE,Tài chính,Bất động sản,Bất động sản,"Tư Vấn, Định giá, Môi giới Bất động sản"
232,LEC,BĐS Điện lực Miền Trung,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản
233,LGC,Đầu tư Cầu đường CII,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
234,LGL,Long Giang Land,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản
235,LHG,KCN Long Hậu,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản
236,LIX,Bột Giặt Lix,HOSE,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng cá nhân
237,LM8,LILAMA 18,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
238,LSS,Mía đường Lam Sơn,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm
239,MCM,Giống bò sữa Mộc Châu,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm
240,MCP,In và Bao bì Mỹ Châu,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Hàng công nghiệp,Containers & Đóng gói
241,MDG,Xây dựng Miền Đông,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
242,MHC,CTCP MHC,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,Dịch vụ vận tải
243,MIG,Bảo hiểm Quân đội,HOSE,Tài chính,Bảo hiểm,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ
244,MSB,MSB Bank,HOSE,Ngân hàng,Ngân hàng,Ngân hàng,Ngân hàng
245,MSH,May Sông Hồng,HOSE,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc
246,NAB,Ngân hàng Nam Á,HOSE,Ngân hàng,Ngân hàng,Ngân hàng,Ngân hàng
247,NAF,Nafoods Group,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Bia và đồ uống,Đồ uống & giải khát
248,NAV,Tấm lợp và gỗ Nam Việt,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
249,NBB,577 CORP,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản
250,NCT,DV Hàng hóa Nội Bài,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
251,NHA,PT Nhà và Đô thị Nam HN,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
252,NHH,Nhựa Hà Nội,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi"
253,NHT,Sản xuất và Thương mại Nam Hoa,HOSE,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng hóa giải trí,Đồ chơi
254,NKG,Thép Nam Kim,HOSE,Nguyên vật liệu,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép
255,NLG,BĐS Nam Long,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản
256,NNC,Đá Núi Nhỏ,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
257,NO1,Tâp đoàn 911,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Công nghiệp nặng,Máy công nghiệp
258,NSC,Tập đoàn Giống cây trồng Việt Nam,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
259,NT2,Điện lực Nhơn Trạch 2,HOSE,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
260,NTL,Đô thị Từ Liêm,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản
261,NVL,Novaland,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản
262,NVT,Ninh Vân Bay,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản
263,OCB,Ngân hàng Phương Đông,HOSE,Ngân hàng,Ngân hàng,Ngân hàng,Ngân hàng
264,OGC,Tập đoàn Đại Dương,HOSE,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Tài chính đặc biệt
265,OPC,Dược phẩm OPC,HOSE,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm
266,ORS,Chứng khoán Tiên Phong,HOSE,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán
267,PAC,Pin Ắc quy Miền Nam,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Điện tử & Thiết bị điện,Hàng điện & điện tử
268,PAN,Tập đoàn PAN,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm
269,PC1,Tập đoàn PC1,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
270,PDN,Cảng Đồng Nai,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
271,PDR,BĐS Phát Đạt,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản
272,PET,Dịch vụ Tổng hợp Dầu khí,HOSE,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng
273,PGC,Gas Petrolimex,HOSE,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt
274,PGD,PV GAS D,HOSE,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt
275,PGI,Bảo hiểm PJICO,HOSE,Tài chính,Bảo hiểm,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ
276,PGV,Tổng Công ty Phát điện 3,HOSE,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
277,PHC,Xây dựng Phục Hưng Holdings,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
278,PHR,Cao su Phước Hòa,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi"
279,PIT,XNK PETROLIMEX,HOSE,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Bán lẻ phức hợp
280,PJT,Vận tải thủy PETROLIMEX,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,Vận tải Thủy
281,PLP,SX và CN Nhựa Pha Lê,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi"
282,PMG,ĐT và SX Petro Miền Trung,HOSE,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt
283,PNC,Văn hóa Phương Nam,HOSE,Dịch vụ Tiêu dùng,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa"
284,PNJ,Vàng Phú Nhuận,HOSE,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng cá nhân
285,POW,Điện lực Dầu khí Việt Nam,HOSE,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
286,PPC,Nhiệt điện Phả Lại,HOSE,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
287,PSH,TMại ĐT Dầu khí Nam Sông Hậu,HOSE,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt
288,PTB,Công ty Cổ phần Phú Tài,HOSE,Nguyên vật liệu,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Lâm sản và Chế biến gỗ
289,PTC,Đầu tư ICAPITAL,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
290,PTL,Victory Group,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản
291,PVD,Khoan Dầu khí PVDrilling,HOSE,Dầu khí,Dầu khí,"Thiết bị, Dịch vụ và Phân phối Dầu khí",Thiết bị và Dịch vụ Dầu khí
292,PVP,Vận tải Dầu khí Thái Bình Dương,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,Dịch vụ vận tải
293,PVT,Vận tải Dầu khí PVTrans,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,Vận tải Thủy
294,QCG,Quốc Cường Gia Lai,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản
295,QNP,Cảng Quy Nhơn,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
296,RAL,Bóng đèn Phích nước Rạng Đông,HOSE,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng gia dụng,Thiết bị gia dụng
297,RDP,Nhựa Rạng Đông,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi"
298,REE,Cơ Điện Lạnh REE,HOSE,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
299,RYG,Sản xuất và Đầu tư Hoàng Gia,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
300,S4A,Thủy điện Sê San 4A,HOSE,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
301,SAM,SAM Holdings,HOSE,Công nghệ Thông tin,Công nghệ Thông tin,Thiết bị và Phần cứng,Thiết bị viễn thông
302,SAV,Savimex,HOSE,Nguyên vật liệu,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Lâm sản và Chế biến gỗ
303,SBA,Sông Ba JSC,HOSE,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
304,SBG,Tập Đoàn Cơ Khí Công Nghệ Cao Siba,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Hàng công nghiệp,Công nghiệp phức hợp
305,SBT,Mía đường Thành Thành Công - Biên Hòa,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm
306,SBV,Siam Brothers Việt Nam,HOSE,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng
307,SC5,Xây dựng Số 5,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
308,SCR,TTC Land,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản
309,SCS,DV Hàng hóa Sài Gòn,HOSE,Dịch vụ Tiêu dùng,Du lịch và Giải trí,Du lịch & Giải trí,Dịch vụ hàng không
310,SFC,Nhiên liệu Sài Gòn,HOSE,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt
311,SFG,Phân bón Miền Nam,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
312,SFI,Vận tải SAFI,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,Vận tải Thủy
313,SGN,Phục vụ mặt đất Sài Gòn,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
314,SGR,Địa ốc Sài Gòn,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản
315,SGT,Sài Gòn Telecom,HOSE,Công nghệ Thông tin,Công nghệ Thông tin,Phần mềm & Dịch vụ Máy tính,Internet
316,SHA,Sơn Hà Sài Gòn,HOSE,Nguyên vật liệu,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép
317,SHI,Quốc tế Sơn Hà,HOSE,Nguyên vật liệu,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép
318,SHP,Thủy điện Miền Nam,HOSE,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
319,SIP,Đầu tư Sài Gòn VRG,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản
320,SJD,Thủy điện Cần Đơn,HOSE,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
321,SJS,SJ Group,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản
322,SKG,Tàu Cao tốc Superdong,HOSE,Dịch vụ Tiêu dùng,Du lịch và Giải trí,Du lịch & Giải trí,Vận tải hành khách & Du lịch
323,SMA,Thiết bị Phụ tùng Sài Gòn,HOSE,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
324,SMB,Bia Sài Gòn - Miền Trung,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Bia và đồ uống,Sản xuất bia
325,SMC,Đầu tư Thương mại SMC,HOSE,Nguyên vật liệu,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép
326,SPM,S.P.M CORP,HOSE,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm
327,SRC,Cao su Sao Vàng,HOSE,Hàng Tiêu dùng,Ô tô và phụ tùng,Ô tô và phụ tùng,Lốp xe
328,SRF,SEAREFICO,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Công nghiệp nặng,Máy công nghiệp
329,SSC,Giống cây trồng Miền Nam,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
330,ST8,Tập đoàn ST8,HOSE,Công nghệ Thông tin,Công nghệ Thông tin,Thiết bị và Phần cứng,Thiết bị văn phòng
331,STG,Kho Vận Miền Nam,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
332,STK,Sợi Thế Kỷ,HOSE,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc
333,SVC,SAVICO,HOSE,Hàng Tiêu dùng,Ô tô và phụ tùng,Ô tô và phụ tùng,Sản xuất ô tô
334,SVD,Đầu tư & Thương mại Vũ Đăng,HOSE,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc
335,SVI,Bao bì Biên Hòa,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Hàng công nghiệp,Containers & Đóng gói
336,SVT,Công nghệ SG Viễn Đông,HOSE,Nguyên vật liệu,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Sản xuất giấy
337,SZC,Sonadezi Châu Đức,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản
338,SZL,Sonadezi Long Thành,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản
339,TBC,Thủy điện Thác Bà,HOSE,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
340,TCD,Tập đoàn Xây dựng Tracodi,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
341,TCH,ĐT DV Tài chính Hoàng Huy,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản
342,TCI,Chứng khoán Thành Công,HOSE,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán
343,TCL,Tan Cang Logistics,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,Dịch vụ vận tải
344,TCM,Dệt may Thành Công,HOSE,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc
345,TCO,TCO Holdings,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,Dịch vụ vận tải
346,TCR,Gốm sứ TAICERA,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
347,TCT,Cáp treo Tây Ninh,HOSE,Dịch vụ Tiêu dùng,Du lịch và Giải trí,Du lịch & Giải trí,Vận tải hành khách & Du lịch
348,TDC,Becamex TDC,HOSE,Tài chính,Bất động sản,Bất động sản,"Tư Vấn, Định giá, Môi giới Bất động sản"
349,TDG,Đầu tư TDG Global,HOSE,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt
350,TDH,Thủ Đức House,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản
351,TDM,Nước Thủ Dầu Một,HOSE,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước
352,TDP,Công ty Thuận Đức,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Hàng công nghiệp,Containers & Đóng gói
353,TDW,Cấp nước Thủ Đức,HOSE,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước
354,TEG,TECGROUP,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản
355,THG,XD Tiền Giang,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
356,TIP,PT KCN Tín Nghĩa,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản
357,TIX,TANIMEX,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản
358,TLD,ĐT XD và PT Đô thị Thăng Long,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản
359,TLG,Tập đoàn Thiên Long,HOSE,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng gia dụng,Đồ gia dụng một lần
360,TLH,Thép Tiến Lên,HOSE,Nguyên vật liệu,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép
361,TMP,Thủy điện Thác Mơ,HOSE,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
362,TMS,Transimex,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
363,TMT,Ô tô TMT,HOSE,Hàng Tiêu dùng,Ô tô và phụ tùng,Ô tô và phụ tùng,Sản xuất ô tô
364,TN1,Rox Key Holdings,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản
